kanji,meaning,readings
論,theory,ron
緯,horizontal,i
衛,defense,ei
憶,recollection,oku
穏,calm,on/oda-yaka
壊,demolition,kai/kowa-su/kowa-reru
懐,pocket,kai/futokoro/natsu-kashii/natsu-kashimu/natsu-ku/natsu-keru
諧,harmony,kai
骸,dead remains,gai
獲,seize,kaku/e-ru
憾,remorse,kan
還,send back,kan
館,public building,kan/yakata
機,machine,ki/hata
橋,bridge,kyō/hashi
凝,congeal,gyō/ko-ru/ko-rasu
錦,brocade,kin/nishiki
薫,fragrant,kun/kao-ru
憩,recess,kei/iko-i/iko-u
激,violent,geki/hage-shii
憲,constitution,ken
賢,intelligent,ken/kashiko-i
錮,tie up,ko
興,entertain,kō/kyō/oko-ru/oko-su
衡,equilibrium,kō
鋼,steel,kō/hagane
墾,ground-breaking,kon
錯,confused,saku
諮,consult with,shi/haka-ru
儒,Confucian,ju
樹,trees,ju
獣,animal,jū/kemono
縦,vertical,jū/tate
壌,lot,jō
嬢,lass,jō
錠,lock,jō
薪,fuel,shin/takigi
親,parent,shin/oya/shita-shii/shita-shimu
整,put in order,sei/totono-eru/totono-u
醒,be disillusioned,sei
積,accumulate,seki/tsu-mu/tsu-moru
薦,recommend,sen/susu-meru
膳,tray,zen
操,maneuver,sō/misao/ayatsu-ru
濁,voiced,daku/nigo-ru/nigo-su
壇,podium,dan
緻,fine (not coarse),chi
築,fabricate,chiku/kizu-ku
諦,abandon,tei/akira-meru
賭,gamble,to/ka-keru
糖,sugar,tō
頭,head,tō/zu/atama/kashira
篤,fervent,toku
曇,cloudy weather,don/kumo-ru
燃,burn,nen/mo-eru/mo-yasu/mo-su
濃,concentrated,nō/ko-i
薄,dilute,haku/usu-i/usu-meru/usu-maru/usu-ragu/usu-reru
縛,truss,baku/shiba-ru
繁,luxuriant,han
避,evade,hi/sa-keru
奮,stirred up,fun/furu-u
壁,wall,heki/kabe
縫,sew,hō/nu-u
膨,swell,bō/fuku-ramu/fuku-reru
謀,conspire,bō/haka-ru
頰,cheek,hoo
磨,grind,ma/miga-ku
麺,noodles,men
薬,medicine,yaku/kusuri
諭,rebuke,yu/sato-su
輸,transport,yu
融,dissolve,yū
擁,embrace,yō
謡,noh chanting,yō/utai/uta-u
頼,trust,rai/tano-mu/tano-moshii/tayo-ru
隣,neighboring,rin/tona-ru/tonari
隷,slave,rei
錬,tempering,ren
録,record,roku
曖,not clear,ai
臆,timidity,oku
嚇,menacing,kaku
轄,control,katsu
環,ring,kan
擬,mimic,gi
犠,sacrifice,gi
矯,rectify,kyō/ta-meru
謹,discreet,kin/tsutsushi-mu
謙,self-effacing,ken
鍵,key,ken/kagi
厳,strict,gen/ogoso-ka/kibi-shii
講,lecture,kō
購,subscription,kō
懇,sociable,kon/nengo-ro
擦,grate,satsu/su-ru/su-reru
謝,apologize,sha/ayama-ru
爵,baron,shaku
醜,ugly,shū/miniku-i
縮,shrink,shuku/chiji-mu/chiji-maru/chiji-meru/chiji-reru/chiji-rasu
償,reparation,shō/tsuguna-u
礁,reef,shō
績,exploits,seki
繊,slender,sen
鮮,fresh,sen/aza-yaka
燥,parch,sō
霜,frost,sō/shimo
戴,be crowned with,tai
濯,laundry,taku
鍛,forge,tan/kita-eru
聴,listen,chō/ki-ku
謄,mimeograph,tō
瞳,pupil,dō/hitomi
謎,riddle,nazo
鍋,pot,nabe
頻,repeatedly,hin
闇,darkness,yami
優,superior,yū/yasa-shii/sugu-reru
翼,wing,yoku/tsubasa
覧,perusal,ran
療,heal,ryō
瞭,clear,ryō
齢,age,rei
穫,harvest,kaku
額,amount,gaku/hitai
顎,jaw,gaku/ago
鎌,sickle,kama
簡,simplicity,kan
観,observe,kan
韓,Korea,kan
顔,face,gan/kao
騎,equestrian,ki
襟,collar,kin/eri
繭,cocoon,ken/mayu
顕,appear,ken
験,test,ken
鎖,chain,sa/kusari
瞬,wink,shun/matata-ku
織,weave,shoku/shiki/o-ru
職,employment,shoku
繕,darning,zen/tsukuro-u
礎,cornerstone,so/ishizue
騒,boisterous,sō/sawa-gu
贈,presents,zō/oku-ru
題,topic,dai
懲,penal,chō/ko-riru/ko-rasu/ko-rashimeru
鎮,tranquilize,chin/shizu-meru/shizu-maru
藤,wisteria,tō/fuji
闘,fight,tō/tataka-u
難,difficult,nan/kata-i/muzuka-shii
藩,clan,han
覆,capsize,fuku/oo-u/kutsugae-su/kutsugae-ru
璧,sphere,heki
癖,mannerism,heki/kuse
翻,flip,hon/hirugae-ru/hirugae-su
癒,healing,yu/i-eru/i-yasu
曜,day of the week,yō
濫,excessive,ran
藍,indigo,ran/ai
糧,provisions,ryō/kate
臨,look to,rin/nozo-mu
類,sort,rui/tagu-i
韻,rhyme,in
艶,glossy,en/tsuya
願,request,gan/nega-u
鏡,mirror,kyō/kagami
繰,winding,ku-ru
警,guard against,kei
鶏,chicken,kei/niwatori
鯨,whale,gei/kujira
璽,emperor's seal,ji
識,discriminating,shiki
蹴,kick,shū/ke-ru
髄,marrow,zui
瀬,rapids,se
藻,seaweed,sō/mo
臓,entrails,zō
覇,hegemony,ha
爆,explode,baku
譜,musical score,fu
簿,register,bo
霧,fog,mu/kiri
羅,gauze,ra
離,detach,ri/hana-reru/hana-su
麗,lovely,rei/uruwa-shii
麓,foot of a mountain,roku/fumoto
議,deliberation,gi
競,compete,kyō/kei/kiso-u/se-ru
響,echo,kyō/hibi-ku
懸,suspend,ken/ka-keru/ka-karu
護,safeguard,go
鐘,bell,shō/kane
譲,defer,jō/yuzu-ru
醸,brew,jō/kamo-su
籍,enroll,seki
騰,inflation,tō
欄,column,ran
艦,warship,kan
顧,look back,ko/kaeri-miru
鶴,crane,tsuru
魔,witch,ma
躍,leap,yaku/odo-ru
露,dew,ro/tsuyu
驚,wonder,kyō/odoro-ku/odoro-kasu
襲,attack,shū/oso-u
籠,basket,rō/kago/ko-moru
鑑,specimen,kan/kanga-miru
鬱,gloom,utsu
